Salle,Date,Nom,Description,Valeur
Secreteriat,"11-01-2023 09:43:11",co2,,640
Secreteriat,"11-01-2023 09:43:11",hum,,68.7
Secreteriat,"11-01-2023 09:43:11",temp,,21.9
Secreteriat,"11-01-2023 09:38:07",co2,,612
Secreteriat,"11-01-2023 09:38:07",hum,,68.6
Secreteriat,"11-01-2023 09:38:07",temp,,21.7
Secreteriat,"11-01-2023 09:33:04",co2,,546
Secreteriat,"11-01-2023 09:33:04",hum,,68.5
Secreteriat,"11-01-2023 09:33:04",temp,,21.7
Secreteriat,"11-01-2023 09:28:02",co2,,501
Secreteriat,"11-01-2023 09:28:02",hum,,68.5
Secreteriat,"11-01-2023 09:28:02",temp,,21.6
Secreteriat,"11-01-2023 09:23:00",co2,,449
Secreteriat,"11-01-2023 09:23:00",hum,,67.6
Secreteriat,"11-01-2023 09:23:00",temp,,21.8
Secreteriat,"10-01-2023 15:40:00",co2,,479
Secreteriat,"10-01-2023 15:40:00",hum,,66.7
Secreteriat,"10-01-2023 15:40:00",temp,,22
Secreteriat,"10-01-2023 15:34:58",co2,,429
Secreteriat,"10-01-2023 15:34:58",hum,,66.5
Secreteriat,"10-01-2023 15:34:58",temp,,22
Secreteriat,"10-01-2023 15:29:56",co2,,426
Secreteriat,"10-01-2023 15:29:56",hum,,66.7
Secreteriat,"10-01-2023 15:29:56",temp,,21.9
Secreteriat,"10-01-2023 15:24:54",co2,,455
Secreteriat,"10-01-2023 15:24:54",hum,,66.4
Secreteriat,"10-01-2023 15:24:54",temp,,21.9
Secreteriat,"10-01-2023 15:19:52",co2,,491
Secreteriat,"10-01-2023 15:19:52",hum,,67.3
Secreteriat,"10-01-2023 15:19:52",temp,,21.9
Secreteriat,"10-01-2023 15:14:50",co2,,417
Secreteriat,"10-01-2023 15:14:50",hum,,67
Secreteriat,"10-01-2023 15:14:50",temp,,21.8
Secreteriat,"10-01-2023 15:09:48",co2,,413
Secreteriat,"10-01-2023 15:09:48",hum,,67.3
Secreteriat,"10-01-2023 15:09:48",temp,,21.7
Secreteriat,"10-01-2023 15:04:46",co2,,416
Secreteriat,"10-01-2023 15:04:46",hum,,67.4
Secreteriat,"10-01-2023 15:04:46",temp,,21.6
Secreteriat,"10-01-2023 14:59:44",co2,,411
Secreteriat,"10-01-2023 14:59:44",hum,,67.5
Secreteriat,"10-01-2023 14:59:44",temp,,21.6
Secreteriat,"10-01-2023 14:54:42",co2,,421
Secreteriat,"10-01-2023 14:54:42",hum,,68.1
Secreteriat,"10-01-2023 14:54:42",temp,,21.5
Secreteriat,"10-01-2023 14:49:39",co2,,400
Secreteriat,"10-01-2023 14:49:39",hum,,67.2
Secreteriat,"10-01-2023 14:49:39",temp,,21.4
Secreteriat,"10-01-2023 14:44:37",co2,,400
Secreteriat,"10-01-2023 14:44:37",hum,,68
Secreteriat,"10-01-2023 14:44:37",temp,,21.3
Secreteriat,"10-01-2023 14:39:35",co2,,400
Secreteriat,"10-01-2023 14:39:35",hum,,68.2
Secreteriat,"10-01-2023 14:39:35",temp,,21.2
Secreteriat,"10-01-2023 14:34:33",co2,,400
Secreteriat,"10-01-2023 14:34:33",hum,,67.7
Secreteriat,"10-01-2023 14:34:33",temp,,21
Secreteriat,"10-01-2023 14:29:31",co2,,400
Secreteriat,"10-01-2023 14:29:31",hum,,67.2
Secreteriat,"10-01-2023 14:29:31",temp,,20.9
Secreteriat,"10-01-2023 14:24:29",co2,,400
Secreteriat,"10-01-2023 14:24:29",hum,,67.1
Secreteriat,"10-01-2023 14:24:29",temp,,20.9
Secreteriat,"10-01-2023 14:19:27",co2,,400
Secreteriat,"10-01-2023 14:19:27",hum,,67.3
Secreteriat,"10-01-2023 14:19:27",temp,,20.9
Secreteriat,"10-01-2023 14:14:26",co2,,400
Secreteriat,"10-01-2023 14:14:26",hum,,67.3
Secreteriat,"10-01-2023 14:14:26",temp,,20.9
Secreteriat,"10-01-2023 14:09:23",co2,,400
Secreteriat,"10-01-2023 14:09:23",hum,,67.4
Secreteriat,"10-01-2023 14:09:23",temp,,21
Secreteriat,"10-01-2023 14:04:21",co2,,400
Secreteriat,"10-01-2023 14:04:21",hum,,67.4
Secreteriat,"10-01-2023 14:04:21",temp,,21
Secreteriat,"10-01-2023 13:59:19",co2,,400
Secreteriat,"10-01-2023 13:59:19",hum,,67.5
Secreteriat,"10-01-2023 13:59:19",temp,,21
Secreteriat,"10-01-2023 13:54:18",co2,,400
Secreteriat,"10-01-2023 13:54:18",hum,,67.1
Secreteriat,"10-01-2023 13:54:18",temp,,21
Secreteriat,"10-01-2023 13:49:15",co2,,401
Secreteriat,"10-01-2023 13:49:15",hum,,68.1
Secreteriat,"10-01-2023 13:49:15",temp,,21.1
Secreteriat,"10-01-2023 13:44:13",co2,,425
