Salle,Date,Nom,Description,Valeur
D205,"16-01-2023 21:16:43",temp,,19.2
D205,"16-01-2023 21:16:43",hum,,50.6
D205,"16-01-2023 21:16:43",co2,,400
D205,"16-01-2023 21:01:43",temp,,19.2
D205,"16-01-2023 21:01:42",hum,,50.6
D205,"16-01-2023 21:01:42",co2,,400
D205,"16-01-2023 20:46:42",temp,,19.2
D205,"16-01-2023 20:46:42",hum,,50.6
D205,"16-01-2023 20:46:42",co2,,400
D205,"16-01-2023 20:31:42",temp,,19.2
D205,"16-01-2023 20:31:41",hum,,50.6
D205,"16-01-2023 20:31:41",co2,,400
D205,"16-01-2023 20:16:41",temp,,19.8
D205,"16-01-2023 20:16:41",hum,,49
D205,"16-01-2023 20:16:41",co2,,400
D205,"16-01-2023 20:01:40",temp,,19.8
D205,"16-01-2023 20:01:40",hum,,49
D205,"16-01-2023 20:01:40",co2,,400
D205,"16-01-2023 19:46:40",temp,,19.8
D205,"16-01-2023 19:46:40",hum,,49
D205,"16-01-2023 19:46:40",co2,,400
D205,"16-01-2023 19:31:40",temp,,19.8
D205,"16-01-2023 19:31:39",hum,,49
D205,"16-01-2023 19:31:39",co2,,400
D205,"16-01-2023 19:16:39",temp,,20
D205,"16-01-2023 19:16:39",hum,,48.8
D205,"16-01-2023 19:16:39",co2,,400
D205,"16-01-2023 19:01:39",temp,,21.9
D205,"16-01-2023 19:01:38",hum,,46.6
D205,"16-01-2023 19:01:38",co2,,400
D205,"16-01-2023 18:46:38",temp,,21.9
D205,"16-01-2023 18:46:38",hum,,46.6
D205,"16-01-2023 18:46:38",co2,,400
D205,"16-01-2023 18:31:38",temp,,21.9
D205,"16-01-2023 18:31:37",hum,,46.6
D205,"16-01-2023 18:31:37",co2,,400
D205,"16-01-2023 18:16:37",temp,,21.9
D205,"16-01-2023 18:16:37",hum,,46.6
D205,"16-01-2023 18:16:37",co2,,400
D205,"16-01-2023 18:01:37",temp,,21.9
D205,"16-01-2023 18:01:36",hum,,46.6
D205,"16-01-2023 18:01:36",co2,,400
D205,"16-01-2023 17:59:55",co2,,400
D205,"16-01-2023 17:47:38",temp,,21.4
D205,"16-01-2023 17:47:38",hum,,49.4
D205,"16-01-2023 17:47:38",co2,,400
D205,"16-01-2023 17:32:37",temp,,22.1
D205,"16-01-2023 17:32:37",hum,,48
D205,"16-01-2023 17:32:37",co2,,400
D205,"16-01-2023 17:17:37",temp,,23.3
D205,"16-01-2023 17:17:37",hum,,48.1
D205,"16-01-2023 17:17:37",co2,,400
D205,"16-01-2023 17:02:36",temp,,23.3
D205,"16-01-2023 17:02:36",hum,,48.1
D205,"16-01-2023 17:02:36",co2,,400
D205,"16-01-2023 16:47:36",temp,,23.3
D205,"16-01-2023 16:47:36",hum,,48.1
D205,"16-01-2023 16:47:36",co2,,400
D205,"16-01-2023 16:32:35",temp,,23.3
D205,"16-01-2023 16:32:35",hum,,48.1
D205,"16-01-2023 16:32:35",co2,,400
D205,"16-01-2023 16:17:35",temp,,23.3
D205,"16-01-2023 16:17:35",hum,,48.1
D205,"16-01-2023 16:17:35",co2,,400
D205,"16-01-2023 16:02:34",temp,,23.3
D205,"16-01-2023 16:02:34",hum,,48.1
D205,"16-01-2023 16:02:34",co2,,400
D205,"16-01-2023 15:47:34",temp,,23.3
D205,"16-01-2023 15:47:34",hum,,48.1
D205,"16-01-2023 15:47:33",co2,,400
D205,"16-01-2023 15:32:33",temp,,23.3
D205,"16-01-2023 15:32:33",hum,,48.1
D205,"16-01-2023 15:32:33",co2,,425
D205,"16-01-2023 15:17:33",temp,,20.1
D205,"16-01-2023 15:17:32",hum,,57.3
D205,"16-01-2023 15:17:32",co2,,400
D205,"16-01-2023 15:02:32",temp,,20.1
D205,"16-01-2023 15:02:31",hum,,57.3
D205,"16-01-2023 15:02:31",co2,,400
D205,"16-01-2023 14:47:31",temp,,20.1
D205,"16-01-2023 14:47:31",hum,,57.3
D205,"16-01-2023 14:47:27",co2,,400
D205,"16-01-2023 14:32:27",temp,,20.1
D205,"16-01-2023 14:32:27",hum,,57.3
D205,"16-01-2023 14:32:27",co2,,400
D205,"16-01-2023 14:17:27",temp,,20.1
D205,"16-01-2023 14:17:26",hum,,57.3
D205,"16-01-2023 14:17:26",co2,,400
D205,"16-01-2023 14:02:26",temp,,20.1
D205,"16-01-2023 14:02:26",hum,,57.3
D205,"16-01-2023 14:02:26",co2,,400
D205,"16-01-2023 13:47:25",temp,,20.1
D205,"16-01-2023 13:47:25",hum,,57.3
D205,"16-01-2023 13:47:25",co2,,400
D205,"16-01-2023 13:32:25",temp,,20.5
D205,"16-01-2023 13:32:25",hum,,63.8
D205,"16-01-2023 13:32:25",co2,,400
D205,"16-01-2023 13:17:24",temp,,20.5
D205,"16-01-2023 13:17:24",hum,,63.8
D205,"16-01-2023 13:17:24",co2,,400
D205,"16-01-2023 13:02:24",temp,,20.5
D205,"16-01-2023 13:02:24",hum,,63.8
D205,"16-01-2023 13:02:24",co2,,400
D205,"16-01-2023 12:47:23",temp,,20.5
D205,"16-01-2023 12:47:23",hum,,63.8
D205,"16-01-2023 12:47:23",co2,,400
D205,"16-01-2023 12:32:23",temp,,20.5
D205,"16-01-2023 12:32:23",hum,,63.8
D205,"16-01-2023 12:32:23",co2,,400
D205,"16-01-2023 12:17:22",temp,,20.5
D205,"16-01-2023 12:17:22",hum,,63.8
D205,"16-01-2023 12:17:22",co2,,400
D205,"16-01-2023 12:02:22",temp,,20.1
D205,"16-01-2023 12:02:22",hum,,71.4
D205,"16-01-2023 12:02:22",co2,,400
D205,"16-01-2023 11:47:21",temp,,20.1
